 ,X,Y
1,412.000,566.333
2,536.000,338.333
3,577.333,329.000
4,744.000,258.333
5,545.333,543.667
6,1001.333,419.667
7,986.667,433.000
8,305.333,677.000
9,301.333,715.667
10,373.333,897.000
11,444.000,879.667
12,486.667,785.000
13,590.667,737.000
14,622.667,630.333
15,653.333,633.000
16,842.667,586.333
17,1120.000,661.000
18,641.333,707.000
19,710.667,735.000
20,841.333,729.667
21,658.667,815.000
22,414.667,959.000
23,613.333,895.000
24,750.667,900.333
25,772.000,889.667
26,406.667,1065.667
27,545.333,1047.000
28,582.667,1024.333
29,649.333,981.667
30,697.333,948.333
31,709.333,1037.667
32,900.000,976.333
33,962.667,944.333
34,922.667,1023.000
35,934.667,1036.333
36,338.667,1145.333
37,508.000,1178.667
38,560.000,1221.333
39,801.333,1140.000
40,809.333,1196.000
41,861.333,1126.667
42,921.333,1133.333
43,912.000,1152.000
44,973.333,1165.333
45,1024.000,1150.667
46,1049.333,1417.333
47,1114.667,1481.333
48,401.333,1610.667
49,517.333,1614.667
50,629.333,1696.000
51,969.333,1621.333
52,1044.000,1664.000
53,942.667,1754.333
54,946.667,1791.667
55,893.333,1842.333
56,877.333,1877.000
57,686.667,1878.333
58,569.333,1906.333
59,744.000,1977.000
60,1186.667,2015.667
61,1190.667,1843.667
62,376.000,2118.333
63,413.333,2277.000
64,565.333,2194.333
65,742.667,2241.000
66,934.667,2189.000
67,1153.333,2219.667
68,1114.667,2410.000
69,1038.667,2498.000
70,892.000,2510.000
71,836.000,2455.333
72,585.333,2487.333
73,572.000,2510.000
74,590.667,2556.667
75,320.000,2684.667
76,344.000,2699.333
77,329.333,2728.667
78,317.333,2850.000
79,417.333,2799.333
80,489.333,2794.000
81,568.000,2744.667
82,586.667,2683.333
83,569.333,2622.000
84,606.667,2620.667
85,678.667,2660.667
86,734.667,2594.000
87,980.000,2604.667
88,1150.667,2722.000
89,872.000,2753.667
90,942.667,2859.000
91,892.000,2916.333
92,858.667,2968.333
93,842.667,2955.000
94,360.000,2893.667
95,322.667,2967.000
96,338.667,2989.667
97,382.667,2947.000
98,441.333,2919.000
99,340.000,3179.000
100,425.333,3131.000
101,538.667,3063.000
102,566.667,3017.667
103,581.333,3068.333
104,609.333,3024.333
105,626.667,3148.333
106,729.333,3119.000
107,785.333,3084.333
108,829.333,3043.000
109,822.667,3013.667
110,881.333,3047.000
111,932.000,3108.333
112,1148.000,3057.667
113,1168.000,3154.333
114,1162.667,3185.000
115,1133.333,3273.000
116,1014.667,3198.333
117,986.667,3179.667
118,792.000,3266.333
119,658.667,3299.667
120,620.000,3235.667
121,592.000,3267.667
122,396.000,3227.667
123,322.667,3269.000
124,294.667,3271.667
125,404.000,3281.000
126,358.667,3263.667
127,649.333,3434.333
128,712.000,3491.667
129,738.667,3495.667
