 ,X,Y
1,3081,3201
2,3084,3060
3,3229,3262
4,3221,3306
5,3255,3088
6,3391,3369
7,3480,3244
8,3504,3227
9,3442,3124
10,3537,3368
11,3564,3339
12,3588,3295
13,3639,3270
14,3741,3316
15,3904,3285
16,3885,3154
17,3711,3037
18,3695,3060
19,3836,3067
20,3873,3046
21,3884,2997
22,3931,2881
23,3801,2856
24,3507,2961
25,3267,2751
26,3266,2757
27,3587,2780
28,3168,2615
29,3397,2650
30,3112,2464
31,3537,2502
32,3699,2461
33,3681,2538
34,3808,2487
35,3897,2576
36,3938,2434
37,3934,2269
38,3755,2269
39,3726,2314
40,3616,2257
41,3696,2199
42,3622,2166
43,3093,2199
44,3386,2238
45,3455,2125
46,3213,1980
47,3458,1970
48,3571,1955
49,3747,1738
50,3516,1706
51,3191,1620
52,3607,1557
53,3611,1572
54,3685,1575
55,3743,1441
56,3773,1440
57,3854,1504
58,3854,1504
59,3900,1418
60,3856,1307
61,3819,1276
62,3698,1317
63,3618,1358
64,3164,1398
65,3448,1281
66,3493,1275
67,3076,1298
68,3100,1193
69,3074,1050
70,3182,1081
71,3220,1056
72,3269,1161
73,3346,1095
74,3392,1114
75,3528,1199
76,3521,1225
77,3850,1231
78,3759,1091
79,3683,1029
80,3594,993
81,3843,934
82,3218,948
83,3247,936
84,3051,904
85,3060,755
86,3105,840
87,3127,834
88,3594,856
89,3579,819
90,3702,834
91,3851,876
92,3861,795
93,3729,783
94,3837,777
95,3591,762
96,3662,665
97,3669,633
98,3731,635
99,3762,667
100,3459,622
101,3326,627
102,3123,627
103,3084,555
104,3295,532
105,3853,448
106,3749,402
107,3675,340
108,3536,272
109,3321,372
110,3271,348
111,3248,360
112,3082,420
113,3069,438
114,3910,403
