 ,X,Y
1,1998,456
2,2024,516
3,1664,599
4,2524,554
5,2524,121
6,2382,715
7,2085,777
8,1692,824
9,1747,923
10,1661,877
11,1654,847
12,1656,828
13,2253,876
14,2121,1060
15,2417,1001
16,2033,1136
17,1711,1448
18,1863,1497
19,2237,1471
20,2475,1270
21,2471,1322
22,1697,1681
23,1840,1814
24,1909,1732
25,2108,1723
26,2301,1798
27,1736,2038
28,1881,2001
29,1901,1909
30,2254,2032
31,2554,1652
32,2552,1744
33,1701,2114
34,2356,2166
35,1790,2365
36,1899,2413
37,2272,2295
38,2210,2373
39,2511,2317
40,2417,2397
41,2383,2486
42,2344,2533
43,2435,2647
44,2273,2665
45,2117,2606
46,2063,2558
47,2030,2586
48,1736,2657
49,1767,2746
50,1891,2828
51,2135,2795
52,2267,2831
53,1711,2911
54,1727,2979
55,1725,3122
56,1743,3145
57,1721,3163
58,1727,3240
59,1752,3221
60,1833,3196
61,1900,3114
62,1923,3021
63,1961,3138
64,1969,3123
65,2079,3166
66,2122,3203
67,2131,3204
68,2110,3052
69,2195,2934
70,2218,3021
71,2454,2979
72,2355,3051
73,2349,3057
74,2381,3104
75,2476,3025
76,2555,3107
77,2603,3251
78,2525,3263
79,2125,3322
80,2518,370
