 ,X,Y
1,5012,265
2,5050,390
3,5147,378
4,5150,373
5,5156,355
6,5161,349
7,5209,387
8,5320,398
9,5320,436
10,4597,590
11,4796,520
12,5030,562
13,5263,589
14,5286,640
15,4895,628
16,4702,698
17,4620,699
18,4565,796
19,4656,769
20,4685,891
21,4812,796
22,5117,799
23,5337,868
24,5151,918
25,4962,929
26,4951,916
27,4913,936
28,4687,953
29,4620,1020
30,4604,1079
31,4526,1189
32,4848,1231
33,4946,1146
34,5093,997
35,5235,1029
36,5297,1205
37,5193,1259
38,5133,1268
39,5211,1321
40,5212,1331
41,5253,1361
42,5171,1400
43,5089,1393
44,4950,1299
45,4952,1367
46,4727,1338
47,4660,1330
48,4577,1309
49,4587,1348
50,4682,1418
51,4693,1564
52,4800,1510
53,4810,1554
54,4816,1627
55,4831,1663
56,4912,1585
57,5032,1471
58,5048,1491
59,5165,1484
60,4687,1706
61,4684,1742
62,4642,1789
63,4494,1955
64,4563,1971
65,4540,2092
66,4739,2001
67,4857,1876
68,5237,1915
69,5004,2039
70,4664,2127
71,4598,2386
72,4478,2542
73,4600,2463
74,4798,2520
75,4957,2391
76,4984,2558
77,5249,2678
78,4603,2700
79,5304,2861
80,5305,2890
81,5325,2914
82,5318,3178
83,4519,3187
84,4600,3194
85,4767,3271
86,4824,3233
