,Area,Convex Area,Major_axis_length,Plate_id,Well_id,bbox,centroid
0,362,504,43.43467469546886,DEC_P3,P,"(419, 132, 454, 157)","(433.439226519337, 141.51657458563537)"
1,342,472,43.89754246591185,DEC_P3,P,"(422, 750, 447, 787)","(433.9327485380117, 767.96783625731)"
2,404,543,47.43515483033413,DEC_P3,P,"(449, 243, 476, 282)","(462.41584158415844, 263.0940594059406)"
3,314,380,28.50917373516776,DEC_P3,P,"(587, 724, 606, 750)","(595.3821656050956, 736.8216560509554)"
4,270,400,43.28650096112578,DEC_P3,P,"(761, 925, 800, 942)","(778.7962962962963, 935.4814814814815)"
5,361,488,49.49465781349022,DEC_P3,P,"(782, 243, 828, 258)","(803.2714681440443, 249.97229916897507)"
6,377,518,40.55892301664671,DEC_P3,P,"(831, 165, 868, 184)","(846.6790450928382, 173.24403183023873)"
7,263,468,45.23229717536041,DEC_P3,P,"(836, 984, 875, 1001)","(855.5779467680609, 993.9467680608365)"
8,368,472,45.151487977786616,DEC_P3,P,"(855, 339, 881, 377)","(868.4565217391304, 356.3804347826087)"
9,329,609,55.013299460841395,DEC_P3,P,"(863, 116, 911, 138)","(885.1550151975684, 126.40729483282675)"
10,347,452,39.96545309498917,DEC_P3,P,"(884, 208, 905, 243)","(893.0489913544668, 225.30259365994237)"
11,325,414,50.30469311846071,DEC_P3,P,"(917, 638, 965, 650)","(942.603076923077, 644.0738461538461)"
12,344,463,47.39796585664215,DEC_P3,P,"(935, 164, 975, 185)","(953.2238372093024, 173.73546511627907)"
13,413,620,47.258234281430326,DEC_P3,P,"(981, 222, 999, 265)","(989.2130750605327, 243.10653753026634)"
14,329,473,45.51394645173718,DEC_P3,P,"(1026, 759, 1047, 798)","(1036.887537993921, 777.145896656535)"
15,348,521,41.593192471617506,DEC_P3,P,"(1060, 549, 1089, 582)","(1075.4137931034484, 566.5114942528736)"
16,323,486,49.94055173916082,DEC_P3,P,"(1085, 931, 1126, 958)","(1104.5975232198143, 943.1021671826626)"
17,329,432,46.77826332065709,DEC_P3,P,"(1095, 715, 1137, 728)","(1114.6656534954407, 720.693009118541)"
18,244,344,38.91373165690674,DEC_P3,P,"(1120, 118, 1154, 136)","(1136.889344262295, 126.59016393442623)"
19,406,546,46.08847985425793,DEC_P3,P,"(1123, 286, 1158, 318)","(1140.8743842364531, 302.5344827586207)"
